BDF names,Active Material type,Start Date YYYYMMDD,Public Labels,Cycling Programme name,Mass of Active Material / mg,Electrode Coating Mass / g,Weight percentage of Active Material / %,Theoretical Capacity /  mAh g-1,Electrode Diameter / mm,Dry Thickness / um,Nominal Areal Capacity / mAh cm-2,Electrode Loading / g cm-2,Known Issues
sintef__sintef-silicon-R2032-intelligent1-931301__20250405__p-ocv__RT.bdf.parquet,Silicon,20250405,Si-AQ-1,p-OCV,0.9040957492000021,0.001064,84.971405,3579,14,44,2.1011420041472775,0.000587075,
sintef__sintef-silicon-R2032-intelligent1-2c4b6a__20250405__p-ocv__RT.bdf.parquet,Silicon,20250405,Si-AQ-1,p-OCV,1.048547137699999,0.001234,84.971405,3579,14,44,2.4368507830053874,0.000680875,
sintef__sintef-silicon-R2032-intelligent1-882755__20250405__p-ocvhold__RT.bdf.parquet,Silicon,20250405,Si-AQ-1,p-OCV hold,1.074038559200001,0.001264,84.971405,3579,14,44,2.496093508686236,0.000697428,
sintef__sintef-silicon-R2032-intelligent1-5f45a8__20250405__p-ocvhold__RT.bdf.parquet,Silicon,20250405,Si-AQ-1,p-OCV hold,1.1080271211999997,0.001304,84.971405,3579,14,44,2.575083809594025,0.000719498,
sintef__sintef-silicon-R2032-intelligent1-70cc5b__20250405__gitt__RT.bdf.parquet,Silicon,20250405,Si-AQ-1,GITT,1.0315528566999999,0.001214,84.971405,3579,14,44,2.397355632551493,0.00066984,
sintef__sintef-silicon-R2032-intelligent1-f0ee8d__20250405__gitt__RT.bdf.parquet,Silicon,20250405,Si-AQ-1,GITT,1.0825356996999977,0.001274,84.971405,3579,14,44,2.5158410839131764,0.000702945,
sintef__sintef-silicon-R2032-intelligent1-91618e__20250405__gitthold__RT.bdf.parquet,Silicon,20250405,Si-AQ-1,GITT hold,0.9040957492000021,0.001064,84.971405,3579,14,44,2.1011420041472775,0.000587075,
sintef__sintef-silicon-R2032-intelligent1-6d543b__20250405__gitthold__RT.bdf.parquet,Silicon,20250405,Si-AQ-1,GITT hold,0.861610047,0.001014,84.971405,3579,14,44,2.0024041280125346,0.000559487,
sintef__sintef-graphite-R2032-intelligent-4ccc47__20250514__p-ocv__RT.bdf.parquet,Graphite,20250514,Gr-AQ-1,p-OCV,5.816164537524997,0.0063925,90.98419274124022,372,14,64,1.404943641532012,0.00377673,
sintef__sintef-graphite-R2032-intelligent-677295__20250514__p-ocvhold__RT.bdf.parquet,Graphite,20250514,Gr-AQ-1,p-OCV hold,5.515916700624999,0.0060625,90.98419274124022,372,14,64,1.3324162419691554,0.003581764,
sintef__sintef-graphite-R2032-intelligent-063b77__20250514__gitt__RT.bdf.parquet,Graphite,20250514,Gr-AQ-1,GITT,5.934443988425001,0.0065225,90.98419274124022,372,14,64,1.4335150413598055,0.003853535,
sintef__sintef-graphite-R2032-intelligent-1d5628__20250528__p-ocv__RT.bdf.parquet,Graphite,20250528,Gr-AQ-1,p-OCV,6.0891171165249975,0.0066925,90.98419274124022,372,14,64,1.4708776411346098,0.003953972,
sintef__sintef-graphite-R2032-intelligent-a29c1f__20250528__p-ocvhold__RT.bdf.parquet,Graphite,20250528,Gr-AQ-1,p-OCV hold,6.125510793724996,0.0067325,90.98419274124022,372,14,64,1.4796688410816226,0.003977604,
sintef__sintef-graphite-R2032-intelligent-3ac228__20250528__gitt__RT.bdf.parquet,Graphite,20250528,Gr-AQ-1,GITT,5.979936084924995,0.0065725,90.98419274124022,372,14,64,1.4445040412935704,0.003883075,
sintef__sintef-graphite-R2032-intelligent-3f39a2__20250528__gitthold__RT.bdf.parquet,Graphite,20250528,Gr-AQ-1,GITT hold,5.807066118224999,0.0063825,90.98419274124022,372,14,64,1.4027458415452596,0.003770822,
sintef__sintef-silicongraphite-R2032-intelligent1-70e745__20250514__p-ocv__RT.bdf.parquet,Silicon Graphite,20250514,SiGr-AQ-1,p-OCV,7.2488922,0.007986,90.77,510,14,74,2.4006071571428573,0.004707073,
sintef__sintef-silicongraphite-R2032-intelligent1-e43ac0__20250514__p-ocvhold__RT.bdf.parquet,Silicon Graphite,20250514,SiGr-AQ-1,p-OCV hold,7.684588200000001,0.008466,90.77,510,14,74,2.5448960922077926,0.004989992,
sintef__sintef-silicongraphite-R2032-intelligent1-175ef2__20250514__gitt__RT.bdf.parquet,Silicon Graphite,20250514,SiGr-AQ-1,GITT,7.4939712,0.008256,90.77,510,14,74,2.481769683116883,0.004866215,Anomalously high voltage measurements during the pulse step
sintef__sintef-silicongraphite-R2032-intelligent1-bdb7bc__20250514__gitthold__RT.bdf.parquet,Silicon Graphite,20250514,SiGr-AQ-1,GITT hold,7.139968200000005,0.007866,90.77,510,14,74,2.3645349233766244,0.004636343,
sintef__sintef-silicongraphite-R2032-intelligent1-1c492a__20250602__p-ocv__RT.bdf.parquet,Silicon Graphite,20250602,SiGr-AQ-1,p-OCV,7.675511200000004,0.008456,90.77,510,14,74,2.5418900727272744,0.004984098,
sintef__sintef-silicongraphite-R2032-intelligent1-274e5a__20250602__p-ocvhold__RT.bdf.parquet,Silicon Graphite,20250602,SiGr-AQ-1,p-OCV hold,7.076429200000004,0.007796,90.77,510,14,74,2.343492787012988,0.004595084,
sintef__sintef-silicongraphite-R2032-intelligent1-8eb80b__20250602__gitt__RT.bdf.parquet,Silicon Graphite,20250602,SiGr-AQ-1,GITT,7.611972200000003,0.008386,90.77,510,14,74,2.520847936363637,0.004942839,
